count,correct,verified,unsafe,image_time,avg_verif_time,cum_verif_time,model,epsilon
100,14,14,0,0.018,0.352,4.925,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.02
100,14,14,0,0.017,0.372,5.213,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.025
100,14,14,0,0.015,0.318,4.446,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.03
100,14,14,0,0.015,0.356,4.982,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.035
100,14,14,0,0.019,0.356,4.979,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.04
100,14,14,0,0.015,0.351,4.919,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.045
100,14,14,0,0.015,0.353,4.943,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.05
100,14,14,0,0.017,0.325,4.551,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.055
100,14,14,0,0.019,0.341,4.78,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.06
100,14,14,0,0.018,0.357,4.995,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.065
